類別代號,類別,信筒樣式代號,信筒樣式,縣市,鄉鎮市區,村里,路名,地址描述,服務單位,聯絡電話,備註,x座標,y座標
4,普通信箱,1,單口,雲林縣,四湖鄉,蔡厝村,蔡厝路90號,南光國小前,四湖郵局,(05)7872045,收信時間 11:00,120.219274,23.612104000000002
4,普通信箱,1,單口,新北市,瑞芳區,上天里,大寮路50號,,瑞芳郵局,(02)24972158#12,收信時間11：00,121.785519,25.102861
4,普通信箱,2,雙口,臺中市,太平區,光華里,大興路345號,,太平宜欣郵局郵務股,(04)23982146#25,收信時間10：20,120.73735,24.15715
3,普通信筒,1,單口,高雄市,路竹區,北嶺里,路科5路100號,守衛室前,路竹郵局,(07)6962311#16,收信時間10:00,120.254936,22.842171999999998
4,普通信箱,1,單口,宜蘭縣,冬山鄉,清溝村,義成路三段168號,台電巷口,羅東郵局郵務股,(03)9561933#301,收信時間10:30,121.76552899999999,24.659393
4,普通信箱,1,單口,彰化縣,溪州鄉,柑圍村,下柑路6號,柑園商店,溪州郵局,(04)8895039,收信時間09：00,120.539138,23.822765
4,普通信箱,1,單口,臺東縣,臺東市,建農里,知本路2段92號,民宅前,台東知本郵局,(089)512543,收信時間9：30,121.07670099999999,22.714541000000004
5,限時普通雙用信筒,2,雙口,苗栗縣,苑裡鎮,社苓里,社苓90之5號,苑裡社苓郵局前,苑裡社苓郵局,(037)741142,收信時間16:50,120.676208,24.404907
4,普通信箱,1,單口,苗栗縣,泰安鄉,中興村,長橋6號,中興代辦所,大湖郵局,(037)992841,收信時間10:00,121.082679,24.404779
3,普通信筒,2,雙口,苗栗縣,銅鑼鄉,九湖村,銅科一路3號,,銅鑼郵局,(037)981133,收信時間12:30,120.76543025502268,24.465697359636728
3,普通信筒,2,雙口,苗栗縣,頭份市,斗煥里,斗煥199之1號,陸軍斗煥營區內,頭份郵局,(037)673114#18,收信時間16:15,120.947036,24.677899
3,普通信筒,2,雙口,高雄市,小港區,店鎮里,中鋼路3號,高雄台船郵局門口,高雄台船郵局,(07)8021442,收信時間16:30,120.356666,22.561111
1,限時信筒,2,雙口,高雄市,楠梓區,中陽里,楠梓新路247號,楠梓郵局前,楠梓郵局,(07)3517250,收信時間17:00,120.325787,22.728381
3,普通信筒,2,雙口,新竹市,香山區,東香里,五福路2段707號,,新竹郵局投遞股,(03)5240075,收信時間12:00,120.952531,24.756901999999997
3,普通信筒,2,雙口,新竹市,香山區,牛埔里,牛埔東路247號,東華街口,新竹郵局投遞股,(03)5240075,收信時間11:00,120.944217,24.796131
4,普通信箱,2,雙口,新竹市,香山區,頂福里,中山路650號,,新竹郵局投遞股,(03)5240075,收信時間10:30,120.954208,24.7957
7,限時信筒， 普通信筒,8,普通雙口/限時雙口,新竹縣,芎林鄉,新鳳村,文衡路426號,芎林郵局門口,芎林郵局,(03)5922849,收件時間16:50,121.08377,24.77222
3,普通信筒,2,雙口,高雄市,小港區,松山里,松和路1號,餐旅大學大門,小港投遞股,(07)8064620,收信時間15:30,120.371523,22.56577
1,限時信筒,2,雙口,高雄市,楠梓區,享平里,楠梓路37號,,高北快包股,(07)3109620,收信時間13:00,120.329534,22.728505
1,限時信筒,2,雙口,高雄市,仁武區,竹後里,水管路100-1號,仁武台塑郵局前,仁武台塑郵局,(07)3722811,收信時間17:00,120.336314,22.705947
3,普通信筒,2,雙口,新竹市,北區,金竹里,金竹路99號,,新竹郵局投遞股,(03)5240075,收信時間09:00,120.97400200000001,24.822985
4,普通信箱,2,雙口,新竹市,東區,明湖里,花園新城10巷1號,,新竹郵局投遞股,(03)5240075,收信時間09:20,120.98193699999999,24.765568000000002
4,普通信箱,2,雙口,新竹市,香山區,大湖里,五福路1段530號,大湖國小前,新竹郵局投遞股,(03)5240075,收信時間11:00,120.933297,24.745963
1,限時信筒,2,雙口,新竹縣,竹北市,北崙里,縣政九路138號,光明郵局門口,竹北郵局,(03)5551121#23,收信時間17:00,121.011074,24.828836
5,限時普通雙用信筒,2,雙口,新竹縣,芎林鄉,上山村,三民路2號,大矽谷社區門口,芎林郵局,(03)5922849,收件時間10:00,121.072928,24.789799000000006
1,限時信筒,2,雙口,新竹縣,新豐鄉,松林村,泰安街26 號,新豐山崎郵局門口,新豐郵局,(03)5996640,收信時間:17:30,120.994444,24.869537000000008
5,限時普通雙用信筒,2,雙口,新竹縣,關西鎮,東安里,中山東路105號,,關西郵局,(03)5872147,收件時間 17：25,121.181518,24.790183
4,普通信箱,1,單口,新竹縣,關西鎮,東光里,十六張201號,,關西郵局,(03)5872147,收件時間 11：00,121.176041,24.77598
3,普通信筒,3,四口,新北市,八里區,荖阡里,訊塘路13號,八里郵局前門口,八里郵局(三重25支),(02)26102045#117,收信時間1730,121.397971,25.144958
3,普通信筒,2,雙口,苗栗縣,泰安鄉,清安村,洗水坑23號,泰安郵局前,泰安郵局,(037)941035,收信時間16:30,120.90552529735044,24.44655505973579
3,普通信筒,2,雙口,苗栗縣,通霄鎮,通西里,中正路76號,通霄郵局前,通霄郵局,(037)752264,收信時間17:35,120.68007768385915,24.49076538233874
3,普通信筒,2,雙口,苗栗縣,頭份市,民權里,崇仁街3號,頭份郵局前,頭份郵局,(037)673114#18,收信時間18:00,120.90390521084785,24.6834226375467
3,普通信筒,2,雙口,高雄市,小港區,正苓里,漢民路352號,,小港投遞股,(07)8064620,收信時間16:00,120.356666,22.566944
3,普通信筒,2,雙口,高雄市,左營區,永清里,海功路55號,左營高中,高北快包股,(07)3109620,收信時間13:30,120.296462,22.692737
1,限時信筒,2,雙口,高雄市,楠梓區,加昌里,壽民路222號,楠梓亞洲城郵局前,楠梓亞洲城郵局,(07)3639199,收信時間17:00,120.296594,22.716335
5,限時普通雙用信筒,2,雙口,新竹市,東區,建華里,學府路39號,,新竹郵局投遞股,(03)5240075,收信時間10:00,120.977807,24.794584
1,限時信筒,2,雙口,新竹縣,竹北市,北崙里,光明六路8號,新竹縣議會,竹北郵局,(03)5551121#23,收信時間09:00,121.01298000000001,24.826839000000003
5,限時普通雙用信筒,2,雙口,新竹縣,竹北市,斗崙里,福興路646號,,竹北郵局,(03)5551121#23,收信時間10:00,121.011581,24.822435
3,普通信筒,2,雙口,新北市,三重區,介壽里,介壽路5號,三重7支局門口,三重郵局郵務科投遞股,(02)29882776#201,收信時間1700,121.499004,25.069091
3,普通信筒,1,單口,新北市,五股區,集福里,成泰路4段16號,清水灣前,五股郵局(三重21支),(02)22919553,收信時間1600,121.453351,25.106574
4,普通信箱,1,單口,苗栗縣,獅潭鄉,新豐村,八角林35號,,大湖郵局,(037)992841,收信時間10:30,120.894242,24.479315999999997
4,普通信箱,1,單口,苗栗縣,獅潭鄉,永興村,永興28號,,大湖郵局,(037)992841,收信時間10:00,120.9196,24.522888
1,限時信筒,2,雙口,苗栗縣,銅鑼鄉,銅鑼村,中正路153號,銅鑼郵局前,銅鑼郵局,(037)981133,收信時間17:15,120.78716581269487,24.488399867677018
3,普通信筒,2,雙口,苗栗縣,頭份市,斗煥里,中正二路157號,頭份斗煥郵局前,頭份斗煥郵局,(037)668114,收信時間17:00,120.94485001269895,24.68174482479843
3,普通信筒,2,雙口,苗栗縣,頭份市,頭份里,中正路221號,頭份上公園郵局前,頭份上公園郵局,(037)661124,收信時間17:00,120.914274,24.688399
